HMDB00002,HMDB0000002
HMDB00014,HMDB0000014
HMDB00017,HMDB0000017
HMDB00022,HMDB0000022
HMDB00026,HMDB0000026
HMDB00033,HMDB0000033
HMDB00034,HMDB0000034
HMDB00045,HMDB0000045
HMDB00050,HMDB0000050
HMDB00052,HMDB0000052
HMDB00055_1,HMDB0000055
HMDB00055_2,HMDB0000055
HMDB00058,HMDB0000058
HMDB00060,HMDB0000060
HMDB00061,HMDB0000061
HMDB00062,HMDB0000062
HMDB00073,HMDB0000073
HMDB00079,HMDB0000079
HMDB00085,HMDB0000085
HMDB00086,HMDB0000086
HMDB00087,HMDB0000087
HMDB00098_1,HMDB0000098
HMDB00098_2,HMDB0000098
HMDB00099,HMDB0000099
HMDB00101,HMDB0000101
HMDB00107,HMDB0000107
HMDB00118,HMDB0000118
HMDB00119,HMDB0000119
HMDB00121,HMDB0000121
HMDB00124_1,HMDB0000124
HMDB00124_2,HMDB0000124
HMDB00127_1,HMDB0000127
HMDB00127_2,HMDB0000127
HMDB00130,HMDB0000130
HMDB00132,HMDB0000132
HMDB00133,HMDB0000133
HMDB00139,HMDB0000139
HMDB00143_1,HMDB0000143
HMDB00143_2,HMDB0000143
HMDB00148,HMDB0000148
HMDB00150,HMDB0000150
HMDB00156,HMDB0000156
HMDB00158,HMDB0000158
HMDB00159,HMDB0000159
HMDB00162,HMDB0000162
HMDB00163_1,HMDB0000163
HMDB00163_2,HMDB0000163
HMDB00164,HMDB0000164
HMDB00167,HMDB0000167
HMDB00168,HMDB0000168
HMDB00172,HMDB0000172
HMDB00174_1,HMDB0000174
HMDB00174_2,HMDB0000174
HMDB00175,HMDB0000175
HMDB00177,HMDB0000177
HMDB00186_1,HMDB0000186
HMDB00186_2,HMDB0000186
HMDB00189,HMDB0000189
HMDB00192,HMDB0000192
HMDB00193,HMDB0000193
HMDB00195,HMDB0000195
HMDB00206,HMDB0000206
HMDB00208,HMDB0000208
HMDB00211,HMDB0000211
HMDB00212_1,HMDB0000212
HMDB00212_2,HMDB0000212
HMDB00216,HMDB0000216
HMDB00217,HMDB0000217
HMDB00225,HMDB0000225
HMDB00226,HMDB0000226
HMDB00227,HMDB0000227
HMDB00229,HMDB0000229
HMDB00230,HMDB0000230
HMDB00235,HMDB0000235
HMDB00237,HMDB0000237
HMDB00244,HMDB0000244
HMDB00246,HMDB0000246
HMDB00247,HMDB0000247
HMDB00258,HMDB0000258
HMDB00262,HMDB0000262
HMDB00263,HMDB0000263
HMDB00279,HMDB0000279
HMDB00283_1,HMDB0000283
HMDB00283_2,HMDB0000283
HMDB00286,HMDB0000286
HMDB00290,HMDB0000290
HMDB00295,HMDB0000295
HMDB00299,HMDB0000299
HMDB00302,HMDB0000302
HMDB00306,HMDB0000306
HMDB00310,HMDB0000310
HMDB00318,HMDB0000318
HMDB00321,HMDB0000321
HMDB00325,HMDB0000325
HMDB00336,HMDB0000336
HMDB00346,HMDB0000346
HMDB00355,HMDB0000355
HMDB00378,HMDB0000378
HMDB00397,HMDB0000397
HMDB00398,HMDB0000398
HMDB00402,HMDB0000402
HMDB00407,HMDB0000407
