name,source
"Fructose_1,6_bisphosphate",bmse000011
"Fructose_1,6_bisphosphate",bmse000011
"Fructose_1,6_bisphosphate",bmse000011
"Fructose_1,6_bisphosphate",bmse000011
"Fructose_1,6_bisphosphate",bmse000011
"Fructose_1,6_bisphosphate",bmse000011
"Fructose_1,6_bisphosphate",bmse000011
"Fructose_1,6_bisphosphate",bmse000011
"Fructose_1,6_bisphosphate",bmse000011
"Fructose_1,6_bisphosphate",bmse000011
"Fructose_1,6_bisphosphate",bmse000011
"Fructose_1,6_bisphosphate",bmse000011
"Fructose_1,6_bisphosphate",bmse000011
D_Fructose_6_phosphate,bmse000012
D_Fructose_6_phosphate,bmse000012
D_Fructose_6_phosphate,bmse000012
D_Fructose_6_phosphate,bmse000012
D_Fructose_6_phosphate,bmse000012
D_Fructose_6_phosphate,bmse000012
D_Fructose_6_phosphate,bmse000012
D_Fructose_6_phosphate,bmse000012
D_Fructose_6_phosphate,bmse000012
D_Fructose_6_phosphate,bmse000012
Xylulose,bmse000027
Xylulose,bmse000027
Xylulose,bmse000027
Xylulose,bmse000027
Xylulose,bmse000027
Xylulose,bmse000027
NADH,bmse000054
NADH,bmse000054
NADH,bmse000054
NADH,bmse000054
NADH,bmse000054
NADH,bmse000054
NADH,bmse000054
NADH,bmse000054
NADH,bmse000054
NADH,bmse000054
NADH,bmse000054
NADH,bmse000054
NADH,bmse000054
NADH,bmse000054
NADH,bmse000054
NADH,bmse000054
NADH,bmse000054
NADPH,bmse000055
NADPH,bmse000055
NADPH,bmse000055
NADPH,bmse000055
NADPH,bmse000055
NADPH,bmse000055
NADPH,bmse000055
NADPH,bmse000055
NADPH,bmse000055
NADPH,bmse000055
NADPH,bmse000055
NADPH,bmse000055
NADPH,bmse000055
NADPH,bmse000055
NADPH,bmse000055
NADPH,bmse000055
NADPH,bmse000055
NADPH,bmse000055
O_Succinyl_L_homoserine,bmse000058
O_Succinyl_L_homoserine,bmse000058
O_Succinyl_L_homoserine,bmse000058
O_Succinyl_L_homoserine,bmse000058
4_Aminobenzoic_acid,bmse000066
4_Aminobenzoic_acid,bmse000066
Betaine,bmse000069
Betaine,bmse000069
Betaine_aldehyde,bmse000070
Betaine_aldehyde,bmse000070
Cadaverine,bmse000072
Cadaverine,bmse000072
Cadaverine,bmse000072
L_Canavanine,bmse000073
L_Canavanine,bmse000073
L_Canavanine,bmse000073
Citrate,bmse000076
Citrate,bmse000076
Creatine,bmse000078
Creatine,bmse000078
"3,4_Dehydro_proline",bmse000080
"3,4_Dehydro_proline",bmse000080
"3,4_Dehydro_proline",bmse000080
"3,4_Dehydro_proline",bmse000080
"3,4_Dehydro_proline",bmse000080
Fumaric_acid,bmse000083
alpha_D_Glucose_1_phosphate,bmse000086
alpha_D_Glucose_1_phosphate,bmse000086
alpha_D_Glucose_1_phosphate,bmse000086
alpha_D_Glucose_1_phosphate,bmse000086
alpha_D_Glucose_1_phosphate,bmse000086
alpha_D_Glucose_1_phosphate,bmse000086
alpha_D_Glucose_1_phosphate,bmse000086
"alpha_D_Glucose_1,6_bisphosphate",bmse000087
"alpha_D_Glucose_1,6_bisphosphate",bmse000087
"alpha_D_Glucose_1,6_bisphosphate",bmse000087
"alpha_D_Glucose_1,6_bisphosphate",bmse000087
"alpha_D_Glucose_1,6_bisphosphate",bmse000087
"alpha_D_Glucose_1,6_bisphosphate",bmse000087
"alpha_D_Glucose_1,6_bisphosphate",bmse000087
Glycine,bmse000089
4_Hydroxy_benzoic_acid,bmse000092
4_Hydroxy_benzoic_acid,bmse000092
trans_3_Hydroxycinnamic_acid,bmse000093
trans_3_Hydroxycinnamic_acid,bmse000093
trans_3_Hydroxycinnamic_acid,bmse000093
trans_3_Hydroxycinnamic_acid,bmse000093
trans_3_Hydroxycinnamic_acid,bmse000093
trans_3_Hydroxycinnamic_acid,bmse000093
Imidazole,bmse000096
Imidazole,bmse000096
D_Mannitol,bmse000099
D_Mannitol,bmse000099
D_Mannitol,bmse000099
D_Mannitol,bmse000099
3_Methyl_2_oxobutinoic_acid,bmse000101
3_Methyl_2_oxobutinoic_acid,bmse000101
muco_Inositol,bmse000102
muco_Inositol,bmse000102
Nicotinic_acid,bmse000104
Nicotinic_acid,bmse000104
Nicotinic_acid,bmse000104
Nicotinic_acid,bmse000104
Nicotine,bmse000105
Nicotine,bmse000105
Nicotine,bmse000105
Nicotine,bmse000105
Nicotine,bmse000105
Nicotine,bmse000105
Nicotine,bmse000105
Nicotine,bmse000105
Nicotine,bmse000105
Nicotine,bmse000105
Nicotine,bmse000105
Putrescine,bmse000109
Putrescine,bmse000109
Pyridoxal,bmse000110
Pyridoxal,bmse000110
Pyridoxal,bmse000110
Pyridoxal,bmse000110
Pyridoxal,bmse000110
Pyridoxal_5_phosphate,bmse000111
Pyridoxal_5_phosphate,bmse000111
Pyridoxal_5_phosphate,bmse000111
Pyridoxal_5_phosphate,bmse000111
Pyridoxal_5_phosphate,bmse000111
Pyridoxal_5_phosphate,bmse000111
Pyridoxal_5_phosphate,bmse000111
Pyridoxal_5_phosphate,bmse000111
Pyruvic_acid,bmse000112
Pyruvic_acid,bmse000112
scyllo_Inositol,bmse000113
Shikimic_acid,bmse000114
Shikimic_acid,bmse000114
Shikimic_acid,bmse000114
Shikimic_acid,bmse000114
Shikimic_acid,bmse000114
Shikimic_acid,bmse000114
Taurine,bmse000120
Taurine,bmse000120
L_Threitol,bmse000121
L_Threitol,bmse000121
L_Threitol,bmse000121
trans_4_Hydroxy_L_proline,bmse000123
trans_4_Hydroxy_L_proline,bmse000123
trans_4_Hydroxy_L_proline,bmse000123
trans_4_Hydroxy_L_proline,bmse000123
trans_4_Hydroxy_L_proline,bmse000123
trans_4_Hydroxy_L_proline,bmse000123
Xylitol,bmse000129
Xylitol,bmse000129
Xylitol,bmse000129
Xylitol,bmse000129
Pyridoxamine,bmse000130
Pyridoxamine,bmse000130
Pyridoxamine,bmse000130
Pyridoxamine,bmse000130
Pyridoxamine_5_phosphate,bmse000131
Pyridoxamine_5_phosphate,bmse000131
Pyridoxamine_5_phosphate,bmse000131
Pyridoxamine_5_phosphate,bmse000131
Isonicotinic_acid,bmse000133
Isonicotinic_acid,bmse000133
Itaconic_acid,bmse000137
Itaconic_acid,bmse000137
Itaconic_acid,bmse000137
D_Glucuronate,bmse000140
D_Glucuronate,bmse000140
D_Glucuronate,bmse000140
D_Glucuronate,bmse000140
D_Glucuronate,bmse000140
D_Glucuronate,bmse000140
D_Glucuronate,bmse000140
D_Glucuronate,bmse000140
D_Glucuronate,bmse000140
D_Glucuronate,bmse000140
Dihydroxyacetone,bmse000144
N_Acetyl_L_Glutamine,bmse000145
N_Acetyl_L_Glutamine,bmse000145
N_Acetyl_L_Glutamine,bmse000145
N_Acetyl_L_Glutamine,bmse000145
N_Acetyl_L_Glutamine,bmse000145
N__2_Acetamido_iminodiacetic_acid,bmse000146
N__2_Acetamido_iminodiacetic_acid,bmse000146
4_Aminoantipyrine,bmse000147
4_Aminoantipyrine,bmse000147
4_Aminoantipyrine,bmse000147
4_Aminoantipyrine,bmse000147
4_Aminoantipyrine,bmse000147
4_Hydroxycinnamic_acid,bmse000150
4_Hydroxycinnamic_acid,bmse000150
