GTP [ChEBI:15996],CHEBI:15996
adenosine 5'-monophosphate [ChEBI:16027],CHEBI:16027
ATP(4-) [ChEBI:30616],CHEBI:30616
ADP(3-) [ChEBI:456216],CHEBI:456216
GDP [ChEBI:17552],CHEBI:17552
reactive oxygen species [ChEBI:26523],CHEBI:26523
"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate [ChEBI:16851]",CHEBI:16851
phosphatidylethanolamine [ChEBI:16038],CHEBI:16038
phosphate(3-) [ChEBI:18367],CHEBI:18367
1-phosphatidyl-1D-myo-inositol 3-phosphate [ChEBI:17283],CHEBI:17283
1-phosphatidyl-1D-myo-inositol [ChEBI:16749],CHEBI:16749
phosphatidylinositol 3-phosphate [ChEBI:26034],CHEBI:26034
phospholipid [ChEBI:16247],CHEBI:16247
zinc(2+) [ChEBI:29105],CHEBI:29105
diphosphoric acid [ChEBI:29888],CHEBI:29888
S-adenosyl-L-methionine [ChEBI:15414],CHEBI:15414
S-adenosyl-L-homocysteine [ChEBI:16680],CHEBI:16680
water [ChEBI:15377],CHEBI:15377
acetyl-CoA [ChEBI:15351],CHEBI:15351
coenzyme A [ChEBI:15346],CHEBI:15346
electron [ChEBI:10545],CHEBI:10545
alpha-particle [ChEBI:30216],CHEBI:30216
proton [ChEBI:24636],CHEBI:24636
photon [ChEBI:30212],CHEBI:30212
polynucleotide [ChEBI:15986],CHEBI:15986
cytidine 5'-monophosphate [ChEBI:17361],CHEBI:17361
guanosine 5'-monophosphate [ChEBI:17345],CHEBI:17345
uridine 5'-monophosphate [ChEBI:16695],CHEBI:16695
dATP [ChEBI:16284],CHEBI:16284
dGTP [ChEBI:16497],CHEBI:16497
dCTP [ChEBI:16311],CHEBI:16311
dTTP [ChEBI:18077],CHEBI:18077
UTP [ChEBI:15713],CHEBI:15713
CTP [ChEBI:17677],CHEBI:17677
2'-deoxyribonucleoside triphosphate [ChEBI:16516],CHEBI:16516
NAD(1-) [ChEBI:57540],CHEBI:57540
2''-O-acetyl-ADP-D-ribose [ChEBI:76279],CHEBI:76279
nicotinamide [ChEBI:17154],CHEBI:17154
"1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate [ChEBI:16618]",CHEBI:16618
corticosterone [ChEBI:16827],CHEBI:16827
cortisol [ChEBI:17650],CHEBI:17650
aldosterone [ChEBI:27584],CHEBI:27584
11-deoxycorticosterone [ChEBI:16973],CHEBI:16973
"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate [ChEBI:18348]",CHEBI:18348
diglyceride [ChEBI:18035],CHEBI:18035
"1D-myo-inositol 1,4,5-trisphosphate [ChEBI:16595]",CHEBI:16595
(R)-noradrenaline [ChEBI:18357],CHEBI:18357
(R)-adrenaline [ChEBI:28918],CHEBI:28918
histamine [ChEBI:18295],CHEBI:18295
(9Z)-hexadecenoic acid [ChEBI:28716],CHEBI:28716
hexadecanoic acid [ChEBI:15756],CHEBI:15756
tetradecanoic acid [ChEBI:28875],CHEBI:28875
"all-cis-icosa-11,14,17-trienoic acid [ChEBI:53460]",CHEBI:53460
elaidic acid [ChEBI:27997],CHEBI:27997
oleic acid [ChEBI:16196],CHEBI:16196
"all-cis-docosa-4,7,10,13,16,19-hexaenoic acid [ChEBI:28125]",CHEBI:28125
"all-cis-docosa-7,10,13,16-tetraenoic acid [ChEBI:53487]",CHEBI:53487
"all-cis-icosa-8,11,14-trienoic acid [ChEBI:53486]",CHEBI:53486
magnesium distearate [ChEBI:9254],CHEBI:9254
"(7Z,10Z,13Z,16Z,19Z)-docosapentaenoic acid [ChEBI:53488]",CHEBI:53488
gamma-linolenic acid [ChEBI:28661],CHEBI:28661
"all-cis-5,8,11,14,17-icosapentaenoic acid [ChEBI:28364]",CHEBI:28364
alpha-linolenic acid [ChEBI:27432],CHEBI:27432
L-glutamate(1-) [ChEBI:29985],CHEBI:29985
L-dopa [ChEBI:15765],CHEBI:15765
calcium(2+) [ChEBI:29108],CHEBI:29108
L-lysinium(1+) [ChEBI:32551],CHEBI:32551
L-argininium(1+) [ChEBI:32682],CHEBI:32682
L-ornithine [ChEBI:15729],CHEBI:15729
formic acid [ChEBI:30751],CHEBI:30751
hexanoate [ChEBI:17120],CHEBI:17120
valerate [ChEBI:31011],CHEBI:31011
butyric acid [ChEBI:30772],CHEBI:30772
acetic acid [ChEBI:15366],CHEBI:15366
propionic acid [ChEBI:30768],CHEBI:30768
lipoxin A4 [ChEBI:6498],CHEBI:6498
serotonin [ChEBI:28790],CHEBI:28790
rosiglitazone [ChEBI:50122],CHEBI:50122
dodecanoic acid [ChEBI:30805],CHEBI:30805
pentadecanoic acid [ChEBI:42504],CHEBI:42504
prostaglandin E2 [ChEBI:15551],CHEBI:15551
1-octadec-9-enoylglycero-3-phosphate [ChEBI:52288],CHEBI:52288
UDP [ChEBI:17659],CHEBI:17659
prostaglandin F2alpha [ChEBI:15553],CHEBI:15553
hydron [ChEBI:15378],CHEBI:15378
leukotriene E4 [ChEBI:15650],CHEBI:15650
leukotriene C4 [ChEBI:16978],CHEBI:16978
leukotriene D4 [ChEBI:28666],CHEBI:28666
acetylcholine [ChEBI:15355],CHEBI:15355
2-O-acetyl-1-O-octadecyl-sn-glycero-3-phosphocholine [ChEBI:52450],CHEBI:52450
thromboxane A2 [ChEBI:15627],CHEBI:15627
leukotriene B4 [ChEBI:15647],CHEBI:15647
chloride [ChEBI:17996],CHEBI:17996
aliskiren [ChEBI:601027],CHEBI:601027
linoleic acid [ChEBI:17351],CHEBI:17351
arachidonic acid [ChEBI:15843],CHEBI:15843
ferriheme b [ChEBI:36144],CHEBI:36144
"1,2-diacyl-sn-glycerol [ChEBI:17815]",CHEBI:17815
palmitoleoyl-CoA [ChEBI:53152],CHEBI:53152
gamma-aminobutyric acid zwitterion [ChEBI:59888],CHEBI:59888
dopamine [ChEBI:18243],CHEBI:18243
12(S)-HETE [ChEBI:34146],CHEBI:34146
sphingosine 1-phosphate [ChEBI:37550],CHEBI:37550
UDP-D-glucose [ChEBI:18066],CHEBI:18066
saccharin [ChEBI:32111],CHEBI:32111
sucrose [ChEBI:17992],CHEBI:17992
aspartame [ChEBI:2877],CHEBI:2877
D-tryptophan [ChEBI:16296],CHEBI:16296
anandamide [ChEBI:2700],CHEBI:2700
2-arachidonoylglycerol [ChEBI:52392],CHEBI:52392
(S)-lactic acid [ChEBI:422],CHEBI:422
3-hydroxyoctanoic acid [ChEBI:37098],CHEBI:37098
nicotinic acid [ChEBI:15940],CHEBI:15940
3-hydroxybutyric acid [ChEBI:20067],CHEBI:20067
adenosine [ChEBI:16335],CHEBI:16335
N-formyl-L-methionyl-L-leucyl-L-phenylalanine [ChEBI:53490],CHEBI:53490
