PW_ID,HMDB_ID
PW_C062339,HMDB0114921
PW_C042175,
PW_C041044,
PW_C041849,
PW_C042103,
PW_C042929,
PW_C040830,
PW_C043224,
PW_C043736,
PW_C042151,
PW_C042709,
PW_C042253,
PW_C042865,
PW_C000964,HMDB0001248
PW_C042769,
PW_C043986,
PW_C104980,
PW_C044123,
PW_C042473,
PW_C043809,
PW_C044124,
PW_C041713,
PW_C042931,
PW_C040739,
PW_C042102,
PW_C104908,
PW_C043434,
PW_C001906,HMDB0003498
PW_C044155,
PW_C055590,
PW_C044126,
PW_C000986,HMDB0001273
PW_C005103,HMDB0009055
PW_C042125,
PW_C040117,HMDB0059709
PW_C036865,HMDB0056411
PW_C044068,
PW_C105089,
PW_C042313,
PW_C044023,
PW_C002747,HMDB0006454
PW_C042186,
PW_C043821,
PW_C043603,
PW_C043200,
PW_C104921,
PW_C044208,
PW_C043128,
PW_C043605,
PW_C000826,HMDB0001049
PW_C044425,
PW_C043368,
PW_C004873,HMDB0008825
PW_C104903,
PW_C000972,HMDB0001259
PW_C041158,HMDB0060331
PW_C044217,
PW_C011995,HMDB0030791
PW_C042524,
PW_C043935,
PW_C008448,HMDB0013532
PW_C042889,
PW_C005005,HMDB0008957
PW_C053756,
PW_C043880,
PW_C000262,HMDB0000362
PW_C001009,HMDB0001310
PW_C042809,
PW_C001178,HMDB0001533
PW_C043666,
PW_C042731,
PW_C040779,
PW_C044303,
PW_C041982,
PW_C043151,
PW_C105016,
PW_C041100,
PW_C043960,
PW_C002008,HMDB0003944
PW_C008419,HMDB0013503
PW_C104964,
PW_C041984,
PW_C042791,
PW_C000448,HMDB0000574
PW_C001051,HMDB0001362
PW_C006610,HMDB0010602
PW_C044240,
PW_C001056,HMDB0001368
PW_C001104,HMDB0001429
PW_C105055,
PW_C044156,
PW_C041163,HMDB0060343
PW_C104823,
PW_C001086,HMDB0001406
PW_C043889,
PW_C042426,
PW_C043765,
PW_C043489,
PW_C040809,
PW_C042508,
PW_C105103,
PW_C055512,
PW_C003149,HMDB0007098
PW_C042380,
PW_C000190,HMDB0000280
PW_C007713,HMDB0012156
PW_C041871,
PW_C002000,HMDB0003936
PW_C044255,
PW_C104982,
PW_C000201,HMDB0000295
PW_C057119,HMDB0112282
PW_C104915,
PW_C036941,HMDB0056487
PW_C037003,HMDB0056549
PW_C043091,
PW_C105071,
PW_C055886,
PW_C043705,
PW_C062252,HMDB0114835
PW_C000395,HMDB0000516
PW_C044273,
PW_C042239,
PW_C062291,HMDB0114873
PW_C043771,
PW_C000993,HMDB0001285
PW_C044080,
PW_C042937,
PW_C043372,
PW_C104912,
PW_C001870,HMDB0003391
PW_C041131,
PW_C040773,
PW_C001998,HMDB0003934
PW_C043322,
PW_C105002,
PW_C040756,
PW_C042171,
PW_C037102,HMDB0056648
PW_C042545,
PW_C041316,
PW_C044136,
PW_C041986,
PW_C042110,
PW_C040989,
PW_C042835,
PW_C043521,
PW_C042072,
PW_C040984,
PW_C000862,HMDB0001096
PW_C042580,
PW_C001092,HMDB0001414
PW_C041911,
PW_C040774,
PW_C105061,
PW_C037117,HMDB0056663
PW_C041064,
PW_C041797,
PW_C044230,
PW_C105013,
PW_C042149,
PW_C000274,HMDB0000375
PW_C000301,HMDB0000402
PW_C043860,
PW_C007744,HMDB0012194
PW_C043910,
PW_C007718,HMDB0012161
PW_C041740,
PW_C044074,
PW_C043223,
PW_C104835,
PW_C042882,
PW_C000090,HMDB0000139
PW_C041462,
PW_C055891,
PW_C043205,
PW_C044078,
PW_C043465,
PW_C042526,
PW_C007805,HMDB0012260
PW_C003020,HMDB0006969
PW_C055364,
PW_C104840,
PW_C105001,
PW_C001052,HMDB0001364
PW_C044267,
PW_C008422,HMDB0013506
PW_C041270,
PW_C001246,HMDB0001874
PW_C043316,
PW_C057033,
PW_C044485,
PW_C043146,
PW_C042877,
PW_C044039,
PW_C042726,
PW_C104868,
PW_C043853,
PW_C037863,HMDB0057409
PW_C042795,
PW_C000863,HMDB0001097
PW_C055541,
PW_C057029,
PW_C043204,
PW_C044085,
PW_C044489,
PW_C006700,HMDB0010692
PW_C043163,
PW_C044205,
PW_C042319,
PW_C040852,
PW_C044083,
PW_C105064,
PW_C105070,
PW_C043822,
PW_C042497,
PW_C000849,HMDB0001080
PW_C104878,
PW_C104956,
PW_C043624,
PW_C000077,HMDB0000122
PW_C044109,
PW_C043030,
PW_C000064,HMDB0000095
PW_C041726,
PW_C042200,
PW_C004975,HMDB0008927
PW_C042805,
PW_C007755,HMDB0012208
PW_C041187,
PW_C056435,
PW_C042920,
PW_C003004,HMDB0006902
PW_C042956,
PW_C105020,
PW_C007699,HMDB0012141
PW_C043985,
PW_C000165,HMDB0000244
PW_C044142,
PW_C036881,HMDB0056427
PW_C044146,
PW_C043606,
PW_C105041,
PW_C104909,
PW_C040793,
PW_C006639,HMDB0010631
PW_C001080,HMDB0001397
PW_C044127,
PW_C001537,HMDB0002275
PW_C043522,
PW_C104918,
PW_C040986,
PW_C105067,
PW_C041725,
PW_C063112,HMDB0115969
PW_C043514,
PW_C105073,
PW_C043325,
PW_C042115,
PW_C105060,
PW_C001214,HMDB0001721
PW_C043072,
PW_C044178,
